Agent DT1 issued deposit of $526 at: 2024-09-22 18:16:00 EST     Transaction Number: 2
Agent DT2 issued deposit of $495 at: 2024-09-22 18:16:00 EST     Transaction Number: 27
Agent WT1 issued withdrawal of $94 at: 2024-09-22 18:16:00 EST     Transaction Number: 28
Agent DT0 issued deposit of $569 at: 2024-09-22 18:16:01 EST     Transaction Number: 57
Agent WT8 issued withdrawal of $99 at: 2024-09-22 18:16:01 EST     Transaction Number: 60
Agent DT3 issued deposit of $468 at: 2024-09-22 18:16:01 EST     Transaction Number: 61
Agent DT4 issued deposit of $468 at: 2024-09-22 18:16:01 EST     Transaction Number: 67
Agent WT3 issued withdrawal of $93 at: 2024-09-22 18:16:01 EST     Transaction Number: 69
Agent WT7 issued withdrawal of $99 at: 2024-09-22 18:16:01 EST     Transaction Number: 81
Agent WT3 issued withdrawal of $99 at: 2024-09-22 18:16:02 EST     Transaction Number: 85
Agent WT4 issued withdrawal of $93 at: 2024-09-22 18:16:02 EST     Transaction Number: 89
Agent WT8 issued withdrawal of $99 at: 2024-09-22 18:16:02 EST     Transaction Number: 100
Agent DT0 issued deposit of $492 at: 2024-09-22 18:16:02 EST     Transaction Number: 101
Agent WT2 issued withdrawal of $98 at: 2024-09-22 18:16:02 EST     Transaction Number: 115
Agent DT1 issued deposit of $453 at: 2024-09-22 18:16:03 EST     Transaction Number: 156
Agent DT1 issued deposit of $550 at: 2024-09-22 18:16:04 EST     Transaction Number: 192
Agent DT2 issued deposit of $456 at: 2024-09-22 18:16:05 EST     Transaction Number: 216
Agent WT3 issued withdrawal of $97 at: 2024-09-22 18:16:05 EST     Transaction Number: 236
Agent WT5 issued withdrawal of $95 at: 2024-09-22 18:16:05 EST     Transaction Number: 252
Agent DT2 issued deposit of $470 at: 2024-09-22 18:16:06 EST     Transaction Number: 268
Agent WT5 issued withdrawal of $91 at: 2024-09-22 18:16:06 EST     Transaction Number: 280
Agent WT0 issued withdrawal of $92 at: 2024-09-22 18:16:06 EST     Transaction Number: 281
Agent DT1 issued deposit of $531 at: 2024-09-22 18:16:07 EST     Transaction Number: 308
Agent WT0 issued withdrawal of $93 at: 2024-09-22 18:16:07 EST     Transaction Number: 313
Agent DT3 issued deposit of $526 at: 2024-09-22 18:16:07 EST     Transaction Number: 316
Agent DT4 issued deposit of $504 at: 2024-09-22 18:16:07 EST     Transaction Number: 318
Agent WT1 issued withdrawal of $98 at: 2024-09-22 18:16:07 EST     Transaction Number: 324
Agent WT1 issued withdrawal of $95 at: 2024-09-22 18:16:08 EST     Transaction Number: 365
Agent WT5 issued withdrawal of $97 at: 2024-09-22 18:16:08 EST     Transaction Number: 372
Agent WT6 issued withdrawal of $95 at: 2024-09-22 18:16:08 EST     Transaction Number: 379
Agent WT9 issued withdrawal of $94 at: 2024-09-22 18:16:09 EST     Transaction Number: 409
Agent WT2 issued withdrawal of $98 at: 2024-09-22 18:16:09 EST     Transaction Number: 418
Agent WT7 issued withdrawal of $92 at: 2024-09-22 18:16:09 EST     Transaction Number: 424
Agent DT4 issued deposit of $527 at: 2024-09-22 18:16:10 EST     Transaction Number: 435
Agent WT3 issued withdrawal of $96 at: 2024-09-22 18:16:10 EST     Transaction Number: 450
Agent DT0 issued deposit of $491 at: 2024-09-22 18:16:11 EST     Transaction Number: 485
Agent DT0 issued deposit of $534 at: 2024-09-22 18:16:11 EST     Transaction Number: 491
Agent WT6 issued withdrawal of $91 at: 2024-09-22 18:16:12 EST     Transaction Number: 500
Agent DT3 issued deposit of $488 at: 2024-09-22 18:16:12 EST     Transaction Number: 506
Agent WT0 issued withdrawal of $91 at: 2024-09-22 18:16:12 EST     Transaction Number: 521
Agent WT0 issued withdrawal of $98 at: 2024-09-22 18:16:12 EST     Transaction Number: 552
Agent WT4 issued withdrawal of $96 at: 2024-09-22 18:16:13 EST     Transaction Number: 578
Agent WT8 issued withdrawal of $92 at: 2024-09-22 18:16:13 EST     Transaction Number: 587
Agent WT8 issued withdrawal of $91 at: 2024-09-22 18:16:14 EST     Transaction Number: 606
Agent DT4 issued deposit of $461 at: 2024-09-22 18:16:14 EST     Transaction Number: 610
Agent WT4 issued withdrawal of $96 at: 2024-09-22 18:16:14 EST     Transaction Number: 622
Agent WT0 issued withdrawal of $92 at: 2024-09-22 18:16:14 EST     Transaction Number: 624
Agent WT9 issued withdrawal of $94 at: 2024-09-22 18:16:14 EST     Transaction Number: 633
Agent WT1 issued withdrawal of $91 at: 2024-09-22 18:16:14 EST     Transaction Number: 637
Agent WT6 issued withdrawal of $92 at: 2024-09-22 18:16:15 EST     Transaction Number: 652
Agent WT9 issued withdrawal of $99 at: 2024-09-22 18:16:15 EST     Transaction Number: 671
Agent WT4 issued withdrawal of $91 at: 2024-09-22 18:16:15 EST     Transaction Number: 686
Agent WT1 issued withdrawal of $97 at: 2024-09-22 18:16:15 EST     Transaction Number: 690
Agent WT4 issued withdrawal of $99 at: 2024-09-22 18:16:16 EST     Transaction Number: 721
Agent DT2 issued deposit of $571 at: 2024-09-22 18:16:16 EST     Transaction Number: 724
